Japan,Italy,Sweden,Chile,Spain,Israel,Korea,Latvia,Austria,Norway,United States,United Kingdom,Hungary,Portugal,Canada,Lithuania,Iceland,Ireland,Czech Republic,Mexico,Slovak Republic,Poland,Costa Rica,Netherlands,Colombia,Slovenia,Finland,Luxembourg,Switzerland,New Zealand,Turkey,Greece,Germany,Belgium,Denmark,Estonia,France,Australia
28268128.0,308205416.0,68369251.0,2457634.0,1649329165.0,11961000.0,27501000.0,1445145.0,26583264.0,54442974.0,71200000.0,166041367.0,25086000.0,0.0,51087991.0,3049506.0,10975905.0,40221653.0,46884453.0,7051950.0,13324599.0,57010000.0,226236.0,253209587.0,1672603.0,5054990.0,10467631.0,4443869.0,63924258.0,2404528.0,70139164.0,17872596.0,675358864.0,177088876.0,27954344.0,786990.0,422708089.0,1884186.0
695648105.0,307459640.0,110517979.0,223492469.0,131858528.0,40051000.0,482228000.0,28272565.0,91209936.0,127542479.0,26158300000.0,535651836.0,17870000.0,27205094.0,0.0,6128678.0,3883141.0,104546839.0,17493446.0,763569641.0,16358674.0,116950000.0,8367568.0,289976553.0,74342044.0,10337218.0,52850072.0,10891534.0,330232008.0,39048042.0,92353037.0,10821059.0,1135407060.0,239847883.0,67293942.0,1440457.0,348095610.0,108913145.0
5247407.0,91157825.0,61553874.0,2273832.0,30036661.0,3625000.0,13731000.0,0.0,19537705.0,25639801.0,0.0,41122715.0,21202000.0,3049506.0,6128678.0,0.0,6738594.0,7300840.0,45019157.0,5660362.0,12130974.0,265833000.0,0.0,84394946.0,0.0,5687498.0,33622509.0,1455980.0,12754596.0,1032942.0,28852773.0,3019306.0,275459164.0,81349536.0,46414013.0,96799779.0,58320959.0,709854.0
3637061.0,11086695.0,24538197.0,411672.0,3316131.0,187000.0,1520000.0,113309.0,2145767.0,37601187.0,29600000.0,37770891.0,698000.0,780292.0,3759559.0,6738594.0,0.0,1408572.0,5545473.0,76282.0,1249888.0,5388000.0,0.0,34320698.0,126834.0,181880.0,4859971.0,11808.0,3255952.0,179663.0,2724544.0,572668.0,38569754.0,6309289.0,36715744.0,3608830.0,7121271.0,170682.0
61766273.0,102881359.0,69616614.0,5198090.0,86863726.0,6203000.0,34373000.0,3597922.0,192475605.0,175619091.0,0.0,2208986727.0,14533000.0,15776157.0,25364649.0,7300840.0,815465.0,0.0,57168784.0,22441569.0,7121609.0,41393000.0,1543345.0,339643090.0,3677674.0,1820578.0,11197082.0,16507934.0,80023316.0,4604588.0,20435764.0,2145575.0,647786896.0,168875906.0,111229169.0,3792207.0,309110330.0,6420363.0
120033869.0,449043837.0,94193063.0,709172.0,168331654.0,9374000.0,126776000.0,26719097.0,469935227.0,143303195.0,141200000.0,239134897.0,343058000.0,29988291.0,8864171.0,45019157.0,230422.0,52557009.0,0.0,21254218.0,914044817.0,999704000.0,806614.0,557450827.0,4638032.0,69097448.0,24434024.0,12771409.0,134065195.0,933210.0,64380070.0,14632089.0,3364944640.0,303552031.0,77047458.0,4737555.0,371171030.0,10216288.0
840237442.0,353273831.0,73165589.0,110289940.0,355270466.0,29050000.0,844999000.0,1186073.0,72379427.0,4128644.0,19901200000.0,145237464.0,42859000.0,25543912.0,442552445.0,5660362.0,152772.0,77578488.0,50312563.0,0.0,10783319.0,48346000.0,80933464.0,420454605.0,391381157.0,7344430.0,25855152.0,3390583.0,195050645.0,23151384.0,29344615.0,18314259.0,971959099.0,94565164.0,35155346.0,9406798.0,284669793.0,26307072.0
21485954.0,246127133.0,24402309.0,143125.0,78085688.0,1487000.0,363983000.0,16934609.0,272855251.0,3822202.0,0.0,57577539.0,472038000.0,10066495.0,2814885.0,12130974.0,2388870.0,8887741.0,1167775761.0,2556614.0,0.0,436627000.0,4980.0,158737788.0,1391433.0,47133578.0,10853198.0,3580104.0,44989224.0,8752.0,37154772.0,8047194.0,1146770874.0,115284697.0,22739648.0,6126087.0,255715774.0,74943.0
147026771.0,977870052.0,356221696.0,5847909.0,508594820.0,17673000.0,343998000.0,142351000.0,381409469.0,166994933.0,268000000.0,443029739.0,338918000.0,47476530.0,30238929.0,265833000.0,1684080.0,83245533.0,793910063.0,17357772.0,561878774.0,0.0,676000.0,926686206.0,3558000.0,72029140.0,153979419.0,23851471.0,174272931.0,758240.0,160562673.0,31678242.0,4509343494.0,625303231.0,243480950.0,20359401.0,744251661.0,9540684.0
63340099.0,9109927.0,4443121.0,22402384.0,16220872.0,63132000.0,14929000.0,0.0,1516810.0,26914.0,0.0,6110080.0,146000.0,226236.0,8367568.0,0.0,0.0,1543345.0,806614.0,80933464.0,4980.0,676000.0,0.0,15070991.0,0.0,44567.0,609613.0,78.0,10789516.0,154829.0,3978283.0,86510.0,20575746.0,3460758.0,2045755.0,0.0,8211541.0,76414.0
1082244924.0,942303702.0,672293654.0,290288997.0,713113188.0,156583000.0,422825000.0,53483131.0,240201226.0,1414716813.0,0.0,2729613599.0,249874000.0,201376109.0,225695802.0,84394946.0,123052010.0,399700750.0,363379714.0,126066730.0,171093280.0,603841000.0,15070991.0,32769311.0,34087534.0,39038097.0,329906213.0,56455501.0,490437974.0,53563630.0,341211289.0,84893602.0,7650946984.0,4754218587.0,404513852.0,17927244.0,2092546568.0,272708346.0
94060717.0,66499900.0,9895300.0,70688424.0,107109666.0,14686000.0,100858000.0,0.0,13468778.0,4421458.0,0.0,43032112.0,2320000.0,1672603.0,74342044.0,0.0,126834.0,3677674.0,4638032.0,391381157.0,1391433.0,3558000.0,0.0,34087534.0,0.0,684499.0,22725023.0,195412.0,44948844.0,417868.0,10043434.0,1605738.0,169554513.0,50623397.0,9518327.0,333419.0,62305588.0,4488763.0
