Japan,Italy,Sweden,Chile,Spain,Israel,Korea,Latvia,Austria,Norway,United States,United Kingdom,Hungary,Portugal,Canada,Lithuania,Iceland,Ireland,Czech Republic,Mexico,Slovak Republic,Poland,Costa Rica,Netherlands,Colombia,Slovenia,Finland,Luxembourg,Switzerland,New Zealand,Turkey,Greece,Germany,Belgium,Denmark,Estonia,France,Australia
0.0,1.9669771911197405,1.97916660437499,1.8889060453777011,1.9781065815645036,1.9782844033714149,1.5890962133911484,1.9964161282065187,1.9843878945839502,1.9877070500325282,1.5554999283624467,1.9446758022098618,1.983146426153762,1.9939122608996105,1.9425553772478727,1.9960157382857968,1.9825319342012848,1.981061245521308,1.9866776688112056,1.9586938370514353,1.9961434839952221,1.9887476909312827,1.8208363890037293,1.9487862372337927,1.9296487233539452,1.9971664488960659,1.979489638209122,1.9943974041580679,1.9636053874155663,1.8685383320517128,1.9820499535172897,1.996263499034049,1.9090279220328634,1.969177105889611,1.9829533675028561,1.9782111975069054,1.9559153375184515,1.5899716241546256
1.9669771911197405,0.0,1.9526614956701895,1.9568531879416908,1.8375258371558183,1.9504384616217696,1.96719797684072,1.9457843451555634,1.891779942612937,1.9669228744432437,1.9066346579379054,1.901880177589625,1.9234893899275833,1.9361055653990011,1.9864464046237431,1.9314641684335734,1.9659633357378592,1.9643647470465722,1.9373276280302876,1.9834453100530627,1.935336210021194,1.9044923056085787,1.974299511125194,1.901943832548784,1.9507575033479323,1.8133331461229107,1.962982493052832,1.9683989313305013,1.835499099054664,1.980045649917575,1.8636767534120458,1.8077635900827835,1.7300566949658238,1.8898536715990202,1.9574044146113343,1.97509446822142,1.7576171981298145,1.971727073659546
1.97916660437499,1.9526614956701895,0.0,1.9925421436943873,1.9709140710702968,1.9918078437956932,1.9879936031871044,1.9457638741447179,1.9769160837615705,1.771314760017632,1.9347779976075103,1.915675537449145,1.9813759348577524,1.9794969178855553,1.9917970456203589,1.9503240928723324,1.9610143830309723,1.982408430025555,1.9728732930733748,1.9948938088125263,1.9832846151827206,1.9273159043577786,1.98722004528889,1.90634122355999,1.9921264672425787,1.9899781020854956,1.7453171551672368,1.9886581897134348,1.977901920856232,1.9933361552841948,1.9737933671074133,1.9862577188022774,1.8045981869640901,1.9174192313341039,1.760343761610192,1.8459145460512776,1.9259352041928017,1.9810772353097268
1.8889060453777011,1.9568531879416908,1.9925421436943873,0.0,1.9474183551664257,1.9945058188704505,1.8944596519590884,1.999133266066127,1.9946665031731732,1.997464490299293,1.6390208423026398,1.9498190030576117,1.9987551809631487,1.9978342726919094,1.954533891327479,1.9977500088249684,1.9988265683320778,1.9975150788717422,1.998821159566777,1.95261045122192,1.999260522416605,1.9975746780165453,1.931474913963356,1.9481330017545435,1.9308548560044547,1.999601262279749,1.9933884693347061,1.999345704110081,1.9870687114220689,1.98823602894958,1.9922426457620233,1.9883532989064496,1.9320261393715585,1.9699918010201012,1.9944458739223567,1.9994561738959784,1.9674647357866828,1.9821025379623292
1.9781065815645036,1.8375258371558183,1.9709140710702968,1.9474183551664257,0.0,1.964994920759321,1.9858413292207757,1.9786484394706507,1.9722673203278658,1.9701465750532359,1.9377671437313289,1.8886608410703365,1.9647726109989647,1.585414676934267,1.9909815340439097,1.9769293173717615,1.974636657991985,1.957543742738513,1.9663426131679766,1.9550354027526715,1.974602165799484,1.9445886765305347,1.9539749127738655,1.9231711613845985,1.9189461687242024,1.9724121551514822,1.979021515968436,1.9818110616164297,1.9479758739911757,1.990227531681077,1.922505063767738,1.9421010740688867,1.8077076049883218,1.932520683477137,1.9708020867590126,1.9859997896770376,1.695147002628779,1.9532280975651746
1.9782844033714149,1.9504384616217696,1.9918078437956932,1.9945058188704505,1.964994920759321,0.0,1.9606444977142627,1.9958305752901213,1.9942740941187198,1.996144186353906,1.6545224945500467,1.9050390746128356,1.992817765108009,1.9945749323706818,1.9906687542090622,1.9964442316452515,1.9997123909292083,1.9825807060607448,1.9905507458745022,1.9943869607654816,1.9971558146591994,1.991640058583888,1.807433728050399,1.9576904058431779,1.9857611250296237,1.9935419325518542,1.9935955121776674,1.998643530424805,1.908231538740766,1.9977053877422941,1.9267550801972506,1.9801380623272542,1.9275697903540927,1.9076043212892466,1.9955749990457925,1.9984055826497888,1.9623476253151761,1.9903162412671205
1.5890962133911484,1.96719797684072,1.9879936031871044,1.8944596519590884,1.9858413292207757,1.9606444977142627,0.0,1.9872898668680163,1.988843159388498,1.9822947849632986,1.677951342325541,1.9653018120730819,1.931267337458995,1.994047161163317,1.9672045902903184,1.989282975425388,1.994266790693657,1.992358057940343,1.9858704733073613,1.9500866829941645,1.9551920403846628,1.972511143503478,1.957455135418928,1.967089310188299,1.9224249486343123,1.9669936959512249,1.980832841098536,1.999096939512603,1.9838461687611209,1.9168080252508428,1.9496581666985633,1.9856547310136778,1.916848394147789,1.9834977395875568,1.9910623402649408,1.9879676856502042,1.9564368757677912,1.7838629404428525
1.9964161282065187,1.9457843451555634,1.9457638741447179,1.999133266066127,1.9786484394706507,1.9958305752901213,1.9872898668680163,0.0,1.976629300976714,1.9889839053251965,2.0,1.9635557062186335,1.9801472950914847,1.9981567943782128,1.9697728621286377,2.0,1.999564673512547,1.99573026396301,1.9697008578762814,1.998724568259619,1.979431069580116,1.8416006470641446,2.0,1.942784150872686,2.0,1.9957596291779947,1.9436362101613536,1.9986554329201924,1.9834903528375714,1.998963856728695,1.9879373431373257,1.9983225100149375,1.8237418801807213,1.963507189861296,1.9662351955139874,1.7533491708358435,1.9676359840066,1.9990805428528955
1.9843878945839502,1.891779942612937,1.9769160837615705,1.9946665031731732,1.9722673203278658,1.9942740941187198,1.988843159388498,1.976629300976714,0.0,1.9858443793793787,1.945315269561032,1.9679797455582475,1.8924570338098257,1.9913414428178644,1.9916437624129906,1.9844142587701086,1.996663366377805,1.9742094553919993,1.8976451349623293,1.9952952363624596,1.9036172328460461,1.9460000520391376,1.995651243158797,1.9572615018936614,1.9894084354754697,1.8484335307022217,1.986919984421083,1.9638241364159745,1.910109559626092,1.9948651799838766,1.9780245952617985,1.9826728381013212,1.504304598504472,1.9682303107891845,1.986069187463607,1.9918735221898647,1.9467418732112722,1.9919869460095656
1.9877070500325282,1.9669228744432437,1.771314760017632,1.997464490299293,1.9701465750532359,1.996144186353906,1.9822947849632986,1.9889839053251965,1.9858443793793787,0.0,1.9518181329250484,1.7353243819988422,1.996148621197179,1.9888335279479465,1.9790677616831291,1.9787438133756245,1.9292436230263235,1.9732198585300358,1.9787393362821541,1.999285511568247,1.9974810945516757,1.9469888472491743,1.9999219939206028,1.8685797838158005,1.9963846463316708,1.9977405950065517,1.9521269912405987,1.99545115785529,1.9870317846363008,1.9978439496308047,1.9850639686114722,1.9957924370328564,1.8253936862112639,1.9567852595126385,1.8623730341421962,1.967229630516081,1.9265170294302656,1.9954566236601503
